Jahr;Monat;Ostersonntag;Pfingsten;Freie Tage Österreich;Freie Tage Deutschland;Freie Tage Rest;Fronleichnam;winterferien_bayern;Herbstferien;Schaltjahr
1999;11;0;0;2;2;2;0;0;0;0
1999;12;0;0;7;7;0;0;0;0;0
2000;1;0;0;4;6;5;0;0;0;0
2000;2;0;0;15;19;0;0;0;0;1
2000;3;0;0;0;10;1;0;0;0;0
2000;4;1;0;7;20;6;0;0;0;0
2000;5;0;0;1;8;3;0;0;0;0
2000;6;0;1;4;22;5;1;0;0;0
2000;7;0;0;21;21;3;0;0;0;0
2000;8;0;0;23;23;2;0;0;0;0
2000;9;0;0;6;7;3;0;0;0;0
2000;10;0;0;1;22;1;0;0;0;0
2000;11;0;0;1;4;1;0;0;0;0
2000;12;0;0;6;8;3;0;0;0;0
2001;1;0;0;5;12;2;0;0;0;0
2001;2;0;0;15;15;0;0;0;0;0
2001;3;0;0;0;15;2;0;0;0;0
2001;4;1;0;7;21;4;0;0;0;0
2001;5;0;0;2;10;2;0;0;0;0
2001;6;0;1;3;18;3;1;0;0;0
2001;7;0;0;22;22;2;0;0;0;0
2001;8;0;0;23;23;3;0;0;0;0
2001;9;0;0;5;6;2;0;0;0;0
2001;10;0;0;1;23;1;0;0;0;0
2001;11;0;0;1;3;1;0;0;0;0
2001;12;0;0;6;9;3;0;0;0;0
2002;1;0;0;4;11;2;0;0;0;0
2002;2;0;0;15;16;0;0;0;0;0
2002;3;1;0;5;17;3;0;0;0;0
2002;4;0;0;2;11;4;0;0;0;0
2002;5;0;1;5;14;4;1;0;0;0
2002;6;0;0;0;7;0;0;0;0;0
2002;7;0;0;23;23;1;0;0;0;0
2002;8;0;0;22;22;3;0;0;0;0
2002;9;0;0;5;12;2;0;0;0;0
2002;10;0;0;0;23;2;0;0;0;0
2002;11;0;0;1;2;2;0;0;0;0
2002;12;0;0;7;8;3;0;0;0;0
2003;1;0;0;4;9;3;0;0;0;0
2003;2;0;0;15;15;0;0;0;0;0
2003;3;0;0;0;15;1;0;1;0;0
2003;4;1;0;7;18;4;0;0;0;0
2003;5;0;0;2;7;3;0;0;0;0
2003;6;0;1;4;16;3;1;0;0;0
2003;7;0;0;23;23;1;0;0;0;0
2003;8;0;0;21;21;3;0;0;0;0
2003;9;0;0;5;10;2;0;0;0;0
2003;10;0;0;0;21;2;0;0;0;0
2003;11;0;0;0;6;1;0;0;0;0
2003;12;0;0;7;8;4;0;0;0;0
2004;1;0;0;4;8;3;0;0;0;0
2004;2;0;0;15;20;0;0;1;0;1
2004;3;0;0;0;18;2;0;0;0;0
2004;4;1;0;7;14;5;0;0;0;0
2004;5;0;1;2;11;3;0;0;0;0
2004;6;0;0;2;14;3;1;0;0;0
