reg_id;region_vec;bettenkapazitaet
R1;Achensee;9256
R2;Alpbachtal und Tiroler Seenland;6993
R3;Alpenregion Bludenz;10189
R4;Arlberg;7615
R5;Ausseerland-Salzkammergut;9375
R6;Bad Kleinkirchheim;9758
R7;Bodensee-Vorarlberg;12044
R8;Bregenzerwald;16845
R9;Carnica Region Rosental;1839
R10;Donau NÖ;13359
R11;Donau Oberösterreich;5722
R12;Erste Ferienregion im Zillertal;19800
R13;Ferienland Kufstein;5327
R14;Ferienregion Hohe Salve;7236
R15;Ferienregion Nationalpark Hohe Tauern;35855
R16;Fuschlsee;3293
R17;Gasteinertal;17019
R18;Großarltal;6639
R19;Hochkönig;12023
R20;Hochsteiermark;9188
R21;Hohe Tauern - die Nationalparkregion in Kärnten;10224
R22;Imst Tourismus;3014
R23;Innsbruck und seine Feriendörfer;22323
R24;Innviertel-Hausruckwald;8089
R25;Kaiserwinkl;4984
R26;Kärnten-Mitte;4703
R27;Katschberg-Rennweg;3126
R28;Kitzbühel Tourismus;9048
R29;Kitzbüheler Alpen - Brixental;14554
R30;Kitzbüheler Alpen-St.Johann i.T.;6967
R31;Klagenfurt;3468
R32;Kleinwalsertal;8885
R33;Klopeiner See - Südkärnten;10451
R34;Lavanttal;4480
R35;Lechtal;5402
R36;Lieser- und Maltatal;2870
R37;Linz;7247
R38;Lungau;12094
R39;Mayrhofen;21055
R40;Millstätter See;8441
R41;Mittelburgenland;2458
R42;Montafon;22081
R43;Mostviertel;12345
R44;Mühlviertel;7219
R45;Nassfeld-Pressegger See Lesachtal Weissensee;19685
R46;Nationalpark Kalkalpen Region;3971
R47;Naturparkregion Reutte;3303
R49;Nockberge;4928
R50;Nordburgenland;12740
R51;Obertauern;8888
R52;Osttirol;17350
R53;Ötztal Tourismus;34915
R54;Paznaun - Ischgl;22078
R55;Pillerseetal;8443
R56;Pitztal;7817
R57;Pongau allgemein;3186
R58;Pyhrn-Priel;4871
R59;Region Graz;13753
R60;Region Hall - Wattens;2454
R61;Region Villach;19278
R62;Saalbach-Hinterglemm;23375
R63;Saalfelden-Leogang;8083
R64;Salzburger Saalachtal;4285
R65;Salzburger Seenland;2360
R66;Salzburger Sonnenterrasse;776
R67;Salzburger Sportwelt;39117
R68;Salzkammergut;25426
R69;Schladming-Dachstein;33977
R70;Seefeld;14033
R71;Serfaus-Fiss-Ladis;20032
R72;Silberregion Karwendel;3611
R73;Sonstige;2170
R74;St.Anton am Arlberg;15327
R75;Stadt Salzburg;17753
R76;Stubai Tirol;12265
R77;Südburgenland;6627
R78;Süd-Weststeiermark;10354
R79;Tannheimer Tal;6546
R80;Tennengau - Dachstein West;8584
R81;Tennengebirge;2348
R82;Thermenland Steiermark - Oststeiermark;21155
R83;Tirol West;2562
R84;Tiroler Oberland;11005
R85;Tiroler Zugspitz Arena;12925
R86;Tux - Finkenberg;6901
R87;Umgebungsorte Salzburg Stadt;5461
R88;Urlaubsregion Murtal;19922
R89;Waldviertel;9115
R90;Weinviertel;3949
R91;Wien;109367
R92;Wiener Alpen in Niederösterreich;8897
R93;Wienerwald;10181
R94;Wilder Kaiser;15248
R95;Wildschönau;7077
R96;Wipptal;2934
R97;Wolfgangsee;3665
R98;Wörthersee;15569
R99;Zell am See - Kaprun;19840
R100;Zell-Gerlos;11246
R101;Zentralraum Oberösterreich;3047
