reg_id;Region;Saison/Tourismusmonat;Ergebnis
R1;Achensee;Nov.99;14619
R1;Achensee;Dez.99;67299
R1;Achensee;Jän.00;139667
R1;Achensee;Feb.00;156363
R1;Achensee;Mär.00;102623
R1;Achensee;Apr.00;32793
R1;Achensee;Mai.00;49248
R1;Achensee;Jun.00;96829
R1;Achensee;Jul.00;146874
R1;Achensee;Aug.00;163429
R1;Achensee;Sep.00;129167
R1;Achensee;Okt.00;70190
R1;Achensee;Nov.00;12738
R1;Achensee;Dez.00;72615
R1;Achensee;Jän.01;145460
R1;Achensee;Feb.01;159160
R1;Achensee;Mär.01;93774
R1;Achensee;Apr.01;34991
R1;Achensee;Mai.01;58684
R1;Achensee;Jun.01;102162
R1;Achensee;Jul.01;148067
R1;Achensee;Aug.01;165167
R1;Achensee;Sep.01;116048
R1;Achensee;Okt.01;69578
R1;Achensee;Nov.01;12903
R1;Achensee;Dez.01;77362
R1;Achensee;Jän.02;132791
R1;Achensee;Feb.02;171337
R1;Achensee;Mär.02;97079
R1;Achensee;Apr.02;21211
R1;Achensee;Mai.02;73643
R1;Achensee;Jun.02;103707
R1;Achensee;Jul.02;155761
R1;Achensee;Aug.02;173534
R1;Achensee;Sep.02;122250
R1;Achensee;Okt.02;77952
R1;Achensee;Nov.02;15001
R1;Achensee;Dez.02;77358
R1;Achensee;Jän.03;135588
R1;Achensee;Feb.03;156904
R1;Achensee;Mär.03;100771
R1;Achensee;Apr.03;32864
R1;Achensee;Mai.03;66028
R1;Achensee;Jun.03;118051
R1;Achensee;Jul.03;140903
R1;Achensee;Aug.03;190102
R1;Achensee;Sep.03;128740
R1;Achensee;Okt.03;75259
R1;Achensee;Nov.03;13229
R1;Achensee;Dez.03;77149
R1;Achensee;Jän.04;134965
R1;Achensee;Feb.04;177115
R1;Achensee;Mär.04;91616
R1;Achensee;Apr.04;34883
R1;Achensee;Mai.04;69632
R1;Achensee;Jun.04;106581
R1;Achensee;Jul.04;134535
R1;Achensee;Aug.04;176421
R1;Achensee;Sep.04;121598
R1;Achensee;Okt.04;66081
R1;Achensee;Nov.04;14171
R1;Achensee;Dez.04;66626
R1;Achensee;Jän.05;154506
R1;Achensee;Feb.05;173888
R1;Achensee;Mär.05;123557
R1;Achensee;Apr.05;17547
R1;Achensee;Mai.05;82351
R1;Achensee;Jun.05;104638
R1;Achensee;Jul.05;153094
R1;Achensee;Aug.05;190699
R1;Achensee;Sep.05;130614
R1;Achensee;Okt.05;88614
R1;Achensee;Nov.05;20573
R1;Achensee;Dez.05;72827
R1;Achensee;Jän.06;150330
R1;Achensee;Feb.06;171121
R1;Achensee;Mär.06;110977
R1;Achensee;Apr.06;37410
R1;Achensee;Mai.06;63163
R1;Achensee;Jun.06;104610
R1;Achensee;Jul.06;151002
R1;Achensee;Aug.06;171777
R1;Achensee;Sep.06;134231
R1;Achensee;Okt.06;87398
R1;Achensee;Nov.06;22172
R1;Achensee;Dez.06;77214
R1;Achensee;Jän.07;132564
R1;Achensee;Feb.07;160571
R1;Achensee;Mär.07;86874
R1;Achensee;Apr.07;47838
R1;Achensee;Mai.07;77592
