date;Region;Regionsnummer;time_series
01.01.2022;Achensee;R1;6222
02.01.2022;Achensee;R1;4999
03.01.2022;Achensee;R1;5057
04.01.2022;Achensee;R1;4737
05.01.2022;Achensee;R1;5207
06.01.2022;Achensee;R1;5583
07.01.2022;Achensee;R1;4835
08.01.2022;Achensee;R1;3326
09.01.2022;Achensee;R1;1673
10.01.2022;Achensee;R1;1644
11.01.2022;Achensee;R1;1594
12.01.2022;Achensee;R1;1856
13.01.2022;Achensee;R1;2271
14.01.2022;Achensee;R1;3871
15.01.2022;Achensee;R1;4081
16.01.2022;Achensee;R1;1975
17.01.2022;Achensee;R1;1776
18.01.2022;Achensee;R1;1918
19.01.2022;Achensee;R1;1862
20.01.2022;Achensee;R1;2187
21.01.2022;Achensee;R1;3189
22.01.2022;Achensee;R1;3657
23.01.2022;Achensee;R1;2311
24.01.2022;Achensee;R1;1089
25.01.2022;Achensee;R1;2181
26.01.2022;Achensee;R1;2249
27.01.2022;Achensee;R1;2506
28.01.2022;Achensee;R1;3820
29.01.2022;Achensee;R1;3959
30.01.2022;Achensee;R1;2844
31.01.2022;Achensee;R1;2726
01.02.2022;Achensee;R1;3278
02.02.2022;Achensee;R1;3347
03.02.2022;Achensee;R1;3871
04.02.2022;Achensee;R1;5895
05.02.2022;Achensee;R1;5007
06.02.2022;Achensee;R1;2891
07.02.2022;Achensee;R1;2902
08.02.2022;Achensee;R1;3248
09.02.2022;Achensee;R1;2878
10.02.2022;Achensee;R1;3136
11.02.2022;Achensee;R1;5718
12.02.2022;Achensee;R1;6339
13.02.2022;Achensee;R1;3945
14.02.2022;Achensee;R1;3505
15.02.2022;Achensee;R1;3561
16.02.2022;Achensee;R1;3600
17.02.2022;Achensee;R1;4026
18.02.2022;Achensee;R1;5479
19.02.2022;Achensee;R1;5516
20.02.2022;Achensee;R1;4141
21.02.2022;Achensee;R1;4263
22.02.2022;Achensee;R1;4604
23.02.2022;Achensee;R1;4358
24.02.2022;Achensee;R1;4669
25.02.2022;Achensee;R1;6429
26.02.2022;Achensee;R1;7178
27.02.2022;Achensee;R1;6411
28.02.2022;Achensee;R1;6427
01.03.2022;Achensee;R1;5680
02.03.2022;Achensee;R1;5799
03.03.2022;Achensee;R1;6130
04.03.2022;Achensee;R1;6876
05.03.2022;Achensee;R1;5379
06.03.2022;Achensee;R1;2856
07.03.2022;Achensee;R1;2810
08.03.2022;Achensee;R1;2764
09.03.2022;Achensee;R1;2727
10.03.2022;Achensee;R1;3303
11.03.2022;Achensee;R1;4965
12.03.2022;Achensee;R1;4941
13.03.2022;Achensee;R1;2273
14.03.2022;Achensee;R1;2105
15.03.2022;Achensee;R1;2081
16.03.2022;Achensee;R1;2150
17.03.2022;Achensee;R1;2410
18.03.2022;Achensee;R1;3566
19.03.2022;Achensee;R1;3503
20.03.2022;Achensee;R1;1681
21.03.2022;Achensee;R1;1621
22.03.2022;Achensee;R1;1467
23.03.2022;Achensee;R1;1548
24.03.2022;Achensee;R1;1757
25.03.2022;Achensee;R1;2741
26.03.2022;Achensee;R1;2849
27.03.2022;Achensee;R1;1406
28.03.2022;Achensee;R1;1213
29.03.2022;Achensee;R1;1041
30.03.2022;Achensee;R1;955
31.03.2022;Achensee;R1;1259
01.04.2022;Achensee;R1;1401
02.04.2022;Achensee;R1;1556
03.04.2022;Achensee;R1;898
04.04.2022;Achensee;R1;767
05.04.2022;Achensee;R1;839
06.04.2022;Achensee;R1;829
07.04.2022;Achensee;R1;1008
08.04.2022;Achensee;R1;1598
09.04.2022;Achensee;R1;1968
10.04.2022;Achensee;R1;1766
11.04.2022;Achensee;R1;1957
12.04.2022;Achensee;R1;1969
13.04.2022;Achensee;R1;2303
14.04.2022;Achensee;R1;3001
15.04.2022;Achensee;R1;3816
16.04.2022;Achensee;R1;3825
17.04.2022;Achensee;R1;3879
18.04.2022;Achensee;R1;2379
19.04.2022;Achensee;R1;2384
20.04.2022;Achensee;R1;2332
21.04.2022;Achensee;R1;2525
22.04.2022;Achensee;R1;2577
23.04.2022;Achensee;R1;2085
24.04.2022;Achensee;R1;1334
25.04.2022;Achensee;R1;1249
26.04.2022;Achensee;R1;1319
27.04.2022;Achensee;R1;1398
28.04.2022;Achensee;R1;1745
29.04.2022;Achensee;R1;2021
30.04.2022;Achensee;R1;1727
01.05.2022;Achensee;R1;1338
02.05.2022;Achensee;R1;1446
03.05.2022;Achensee;R1;1454
04.05.2022;Achensee;R1;1426
05.05.2022;Achensee;R1;1658
06.05.2022;Achensee;R1;2397
07.05.2022;Achensee;R1;2494
08.05.2022;Achensee;R1;1660
09.05.2022;Achensee;R1;1686
10.05.2022;Achensee;R1;1781
11.05.2022;Achensee;R1;1974
12.05.2022;Achensee;R1;2177
13.05.2022;Achensee;R1;3018
14.05.2022;Achensee;R1;3693
15.05.2022;Achensee;R1;2128
16.05.2022;Achensee;R1;2211
17.05.2022;Achensee;R1;2200
18.05.2022;Achensee;R1;2351
19.05.2022;Achensee;R1;2829
20.05.2022;Achensee;R1;3838
21.05.2022;Achensee;R1;4588
22.05.2022;Achensee;R1;3053
23.05.2022;Achensee;R1;2761
24.05.2022;Achensee;R1;3057
25.05.2022;Achensee;R1;4655
26.05.2022;Achensee;R1;6278
27.05.2022;Achensee;R1;6275
28.05.2022;Achensee;R1;5338
29.05.2022;Achensee;R1;2760
30.05.2022;Achensee;R1;2988
31.05.2022;Achensee;R1;3104
01.06.2022;Achensee;R1;2888
02.06.2022;Achensee;R1;3523
03.06.2022;Achensee;R1;4946
04.06.2022;Achensee;R1;5852
05.06.2022;Achensee;R1;5513
06.06.2022;Achensee;R1;3926
07.06.2022;Achensee;R1;4167
08.06.2022;Achensee;R1;4064
09.06.2022;Achensee;R1;4434
10.06.2022;Achensee;R1;5332
11.06.2022;Achensee;R1;5936
12.06.2022;Achensee;R1;4534
13.06.2022;Achensee;R1;5111
14.06.2022;Achensee;R1;5330
15.06.2022;Achensee;R1;5812
16.06.2022;Achensee;R1;6824
17.06.2022;Achensee;R1;7066
18.06.2022;Achensee;R1;6793
19.06.2022;Achensee;R1;3841
20.06.2022;Achensee;R1;4863
21.06.2022;Achensee;R1;4594
22.06.2022;Achensee;R1;4650
23.06.2022;Achensee;R1;4908
24.06.2022;Achensee;R1;5605
25.06.2022;Achensee;R1;5937
26.06.2022;Achensee;R1;4574
27.06.2022;Achensee;R1;4578
28.06.2022;Achensee;R1;4671
29.06.2022;Achensee;R1;4761
30.06.2022;Achensee;R1;5150
01.07.2022;Achensee;R1;6454
02.07.2022;Achensee;R1;7180
03.07.2022;Achensee;R1;5012
04.07.2022;Achensee;R1;4615
05.07.2022;Achensee;R1;5148
06.07.2022;Achensee;R1;4917
07.07.2022;Achensee;R1;5193
08.07.2022;Achensee;R1;6203
09.07.2022;Achensee;R1;6076
10.07.2022;Achensee;R1;5083
11.07.2022;Achensee;R1;5448
12.07.2022;Achensee;R1;5885
13.07.2022;Achensee;R1;5893
14.07.2022;Achensee;R1;6205
15.07.2022;Achensee;R1;7070
16.07.2022;Achensee;R1;7399
17.07.2022;Achensee;R1;6305
18.07.2022;Achensee;R1;6943
19.07.2022;Achensee;R1;6792
20.07.2022;Achensee;R1;5831
21.07.2022;Achensee;R1;6018
22.07.2022;Achensee;R1;5955
23.07.2022;Achensee;R1;6501
24.07.2022;Achensee;R1;5455
25.07.2022;Achensee;R1;5798
26.07.2022;Achensee;R1;6295
27.07.2022;Achensee;R1;6382
28.07.2022;Achensee;R1;6316
29.07.2022;Achensee;R1;7824
30.07.2022;Achensee;R1;8896
31.07.2022;Achensee;R1;7846
01.08.2022;Achensee;R1;7338
02.08.2022;Achensee;R1;7607
03.08.2022;Achensee;R1;7434
04.08.2022;Achensee;R1;7258
05.08.2022;Achensee;R1;7045
06.08.2022;Achensee;R1;7208
07.08.2022;Achensee;R1;6979
08.08.2022;Achensee;R1;7484
09.08.2022;Achensee;R1;8033
10.08.2022;Achensee;R1;7258
11.08.2022;Achensee;R1;7477
12.08.2022;Achensee;R1;8041
13.08.2022;Achensee;R1;8071
14.08.2022;Achensee;R1;7091
15.08.2022;Achensee;R1;6779
16.08.2022;Achensee;R1;7134
17.08.2022;Achensee;R1;7092
18.08.2022;Achensee;R1;6403
19.08.2022;Achensee;R1;6209
20.08.2022;Achensee;R1;6820
21.08.2022;Achensee;R1;6273
22.08.2022;Achensee;R1;6469
23.08.2022;Achensee;R1;7912
24.08.2022;Achensee;R1;6887
25.08.2022;Achensee;R1;7177
26.08.2022;Achensee;R1;7074
27.08.2022;Achensee;R1;6453
28.08.2022;Achensee;R1;6033
29.08.2022;Achensee;R1;6023
30.08.2022;Achensee;R1;5637
31.08.2022;Achensee;R1;5922
01.09.2022;Achensee;R1;6158
02.09.2022;Achensee;R1;6802
03.09.2022;Achensee;R1;7560
04.09.2022;Achensee;R1;5829
05.09.2022;Achensee;R1;5710
06.09.2022;Achensee;R1;5610
07.09.2022;Achensee;R1;5110
08.09.2022;Achensee;R1;5128
09.09.2022;Achensee;R1;5487
10.09.2022;Achensee;R1;5436
11.09.2022;Achensee;R1;5304
12.09.2022;Achensee;R1;5562
13.09.2022;Achensee;R1;5517
14.09.2022;Achensee;R1;5204
15.09.2022;Achensee;R1;5386
16.09.2022;Achensee;R1;5250
17.09.2022;Achensee;R1;5126
18.09.2022;Achensee;R1;4369
19.09.2022;Achensee;R1;4528
20.09.2022;Achensee;R1;4802
21.09.2022;Achensee;R1;4982
22.09.2022;Achensee;R1;5196
23.09.2022;Achensee;R1;5134
24.09.2022;Achensee;R1;4805
25.09.2022;Achensee;R1;3650
26.09.2022;Achensee;R1;3804
27.09.2022;Achensee;R1;4232
28.09.2022;Achensee;R1;4001
29.09.2022;Achensee;R1;3840
30.09.2022;Achensee;R1;5001
01.10.2022;Achensee;R1;7018
02.10.2022;Achensee;R1;6700
03.10.2022;Achensee;R1;4745
04.10.2022;Achensee;R1;5136
05.10.2022;Achensee;R1;5104
06.10.2022;Achensee;R1;4598
07.10.2022;Achensee;R1;4915
