reg_id;Region;year;1;2;3;4;5;6;7;8;9;10;11;12
R1;Achensee;2593,229279;2257,155045;2731,365979;2086,323308;1570,512974;2111,692324;2688,81771;1892,204356;1320,298743;930,8653638;1599,920596;971,3397554;1317,493919
R2;Alpbachtal und Tiroler Seenland;1727,487076;1492,613423;2307,946329;2057,243809;965,479935;775,5908493;946,1645414;954,7742168;720,2796082;371,5155085;1148,826494;413,4013305;823,8912076
R3;Alpenregion Bludenz;2032,532458;1946,013397;2590,421489;1987,542175;1275,393039;1852,386787;2305,770342;2102,135182;2354,288886;1573,064155;1917,95185;707,4476919;1735,612634
R4;Arlberg;4065,322073;2100,672272;2664,738634;3032,342169;2628,108778;29,46932267;488,7051946;720,6344374;751,0775235;458,3052976;154,8564807;147,2839748;1794,483933
R5;Ausseerland-Salzkammergut;1436,445015;1406,349635;2717,627331;1541,018771;1193,338013;1484,724991;2425,987291;3454,27644;3135,539597;2022,451092;2162,725519;930,0785867;1666,348394
R6;Bad Kleinkirchheim;2482,005347;2352,947068;1892,146547;3557,197761;675,8426705;760,4413853;1482,376837;1035,983323;971,4873799;520,4763803;744,1664852;248,3730592;1134,29844
R7;Bodensee-Vorarlberg;1507,472324;2137,060795;2158,007356;1911,404871;2068,488572;2510,514137;2767,827103;3707,175381;3496,07592;2554,396338;2758,169871;1714,122261;1934,045715
R8;Bregenzerwald;3543,167825;3007,029033;4285,057793;3993,907575;2626,754134;2151,073352;2540,562441;2380,060542;2637,16555;1135,721766;2087,54991;366,2914293;2291,830647
R9;Carnica Region Rosental;431,0031527;133,2402665;159,4925857;111,5326662;208,9162757;267,9465671;204,9064885;370,9111968;383,6482545;188,8293438;154,6896225;113,8689852;107,7255891
R10;Donau NÖ;2085,255297;1833,712537;1521,993341;1580,393961;2316,301041;2252,258564;2519,500052;2830,660099;2947,701992;1969,157823;2067,546262;1520,083433;2399,595522
R11;Donau Oberösterreich;707,1820691;668,6028606;736,6977224;842,9159828;1194,064982;1191,58359;1186,874213;1163,723749;940,4585445;989,1060659;1019,87427;802,876234;504,101902
R12;Erste Ferienregion im Zillertal;5070,563208;5115,992435;5985,514677;5069,753002;3442,13771;2637,981233;3675,53958;5172,915128;5814,138892;2286,173746;3202,883717;1043,973814;3820,254787
R13;Ferienland Kufstein;762,2253339;1005,766308;1633,624956;1268,597194;923,3105777;875,8160136;968,628119;1102,998694;894,6108754;835,7549963;1145,336033;977,8920946;924,2520562
R14;Ferienregion Hohe Salve;1413,147718;1723,594192;1640,952442;1466,308565;423,6091123;1097,413435;1070,65612;1452,380754;1571,411426;808,320477;1113,939616;268,4578046;1158,89564
R15;Ferienregion Nationalpark Hohe Tauern;8055,247432;10540,87893;12664,5553;8222,538025;5674,457274;4429,01081;6327,969;10433,91912;11598,47923;3584,116315;4867,096525;1332,884646;7605,989055
R16;Fuschlsee;900,1377878;646,1292284;733,5871985;268,0121239;401,9913046;485,0446648;640,4252012;561,1897544;429,7601585;387,858299;400,215993;341,0430188;536,4020512
R17;Gasteinertal;4562,98427;5769,138341;5442,218695;4559,400825;2469,106408;1335,292376;2427,46277;3634,582908;2892,022245;1072,814522;2085,311267;1544,73712;2943,085387
R18;Großarltal;1671,860665;1187,211052;1846,297827;1952,572976;1779,857996;987,2209826;1251,043828;1341,63685;1769,432322;577,855801;1045,912914;697,895817;1475,026706
R19;Hochkönig;2988,579735;2733,308784;2899,473535;2608,790968;1373,749177;2519,225779;3488,134412;5359,948146;5266,123325;2202,851799;2837,760247;807,1300611;2105,72351
R20;Hochsteiermark;794,1652141;968,0074299;896,9082611;575,4831122;612,2088998;925,5307148;969,2131336;1081,790407;1528,840826;684,4417505;1059,428908;584,7042839;581,5539799
R21;Hohe Tauern - die Nationalparkregion in Kärnten;1944,847504;2116,207415;2258,068252;1996,748236;1490,144162;562,393488;696,4973387;1076,397686;1262,955492;1121,048705;547,9707452;622,2859067;1167,212741
R22;Imst Tourismus;602,7868586;806,4667707;1112,920953;610,2220434;513,288946;710,4925394;586,6382416;633,7127345;503,5701018;471,6505815;390,3728548;406,9653908;377,1918433
R23;Innsbruck und seine Feriendörfer;3160,377625;6311,196255;6587,286016;4869,569506;5754,617424;5116,411263;5723,459219;6345,587522;5423,64272;4205,104804;5084,57106;4718,020709;7506,579793
R24;Innviertel-Hausruckwald;671,8305294;1056,906512;1200,31769;1277,973435;707,7059634;754,6517428;680,2144722;930,4825737;504,4410978;520,1281606;486,7951842;556,2672924;662,412053
R25;Kaiserwinkl;1575,450964;1585,227275;2118,589044;1523,878851;1267,567618;1694,772108;2033,901617;1581,247401;725,7425969;798,7238495;1042,407867;450,2987696;620,3367292
R26;Kärnten-Mitte;839,3552643;355,0377159;399,7134768;231,5039374;329,2195836;422,094651;591,8116361;789,6997362;843,3365875;398,4407275;373,4955358;234,7725191;239,1910552
R27;Katschberg-Rennweg;1061,771059;1136,181621;716,1818935;1237,667488;804,6108504;828,8757042;1303,122421;935,3386821;592,7395736;509,4009496;1110,493084;349,6533731;756,8576884
R28;Kitzbühel Tourismus;2190,617137;3151,286752;2707,77217;2951,871897;1007,46953;1240,270919;1587,478403;1963,021021;2056,574168;1575,42943;1154,690601;865,9600681;1400,534919
R29;Kitzbüheler Alpen - Brixental;4255,948421;3818,145151;3361,966303;4388,840762;947,8762817;1863,183272;2219,474687;2505,008319;2397,718691;864,4754882;1473,994793;746,3204577;2400,275429
R30;Kitzbüheler Alpen-St.Johann i.T.;1979,851045;2588,938999;2900,030368;2297,955098;927,3493911;1460,041779;1777,265153;1827,26562;989,0743971;811,0097429;1162,435104;412,232408;967,8592266
R31;Klagenfurt;532,7326227;367,9754312;370,6360105;421,2860177;744,5481315;698,9948672;739,6189922;836,0198679;1083,716877;586,9600813;657,1982405;361,9654093;400,3113614
R32;Kleinwalsertal;2838,764235;1647,184438;2492,093188;3437,458625;1962,888255;2082,762357;3018,516724;2802,610311;2064,82318;1274,556834;1878,973496;266,7223152;1471,845496
R33;Klopeiner See - Südkärnten;3566,956835;410,6924322;532,9098142;387,9658072;527,5800507;873,2313216;1418,219296;2976,901767;3953,077376;689,2808166;444,26029;239,0823881;286,1362048
R34;Lavanttal;408,1132549;841,769632;902,8343537;762,1254112;300,2366368;507,3899894;646,664946;793,5614788;599,3288106;587,8603115;475,2605951;378,3581973;376,1091436
